Precinct	Votes	votes|Rahm Emanuel	pct|Rahm Emanuel	votes|Willie Wilson	pct|Willie Wilson	votes|Robert W. Fioretti	pct|Robert W. Fioretti	votes|Jesus ''Chuy'' Garcia	pct|Jesus ''Chuy'' Garcia	votes|William Walls, Iii	pct|William Walls, Iii
44007	237	172	72.57	4	1.69	15	6.33	44	18.57	2	0.84
44008	268	158	58.96	7	2.61	22	8.21	80	29.85	1	0.37
44009	168	104	61.90	2	1.19	10	5.95	52	30.95	0	0
44010	162	98	60.49	6	3.70	12	7.41	46	28.40	0	0
44011	209	125	59.81	5	2.39	18	8.61	61	29.19	0	0
44012	265	170	64.15	4	1.51	15	5.66	75	28.30	1	0.38
44013	166	116	69.88	4	2.41	11	6.63	35	21.08	0	0
44014	174	107	61.49	2	1.15	7	4.02	57	32.76	1	0.57
44015	208	133	63.94	5	2.40	13	6.25	57	27.40	0	0
44016	228	133	58.33	4	1.75	12	5.26	75	32.89	4	1.75
44017	309	215	69.58	4	1.29	12	3.88	75	24.27	3	0.97
44018	199	135	67.84	7	3.52	12	6.03	44	22.11	1	0.50
44019	291	170	58.42	4	1.37	24	8.25	92	31.62	1	0.34
44020	146	78	53.42	6	4.11	16	10.96	46	31.51	0	0
44021	220	143	65.00	7	3.18	7	3.18	63	28.64	0	0
44022	290	190	65.52	8	2.76	23	7.93	67	23.10	2	0.69
44023	169	103	60.95	6	3.55	12	7.10	47	27.81	1	0.59
44024	288	192	66.67	3	1.04	14	4.86	78	27.08	1	0.35
44025	192	127	66.15	2	1.04	10	5.21	51	26.56	2	1.04
44026	206	131	63.59	4	1.94	8	3.88	62	30.10	1	0.49
44027	229	140	61.14	6	2.62	16	6.99	66	28.82	1	0.44
44028	249	160	64.26	5	2.01	19	7.63	64	25.70	1	0.40
44029	191	113	59.16	2	1.05	11	5.76	62	32.46	3	1.57
44030	206	129	62.62	6	2.91	12	5.83	58	28.16	1	0.49
44031	190	117	61.58	5	2.63	12	6.32	54	28.42	2	1.05
44032	258	161	62.40	3	1.16	13	5.04	79	30.62	2	0.78
44033	209	121	57.89	5	2.39	9	4.31	72	34.45	2	0.96
44034	267	168	62.92	7	2.62	13	4.87	78	29.21	1	0.37
44035	342	236	69.01	10	2.92	19	5.56	76	22.22	1	0.29
44036	196	125	63.78	3	1.53	5	2.55	62	31.63	1	0.51
44037	266	170	63.91	3	1.13	12	4.51	74	27.82	7	2.63
44038	191	124	64.92	2	1.05	14	7.33	48	25.13	3	1.57
44039	170	113	66.47	1	0.59	9	5.29	46	27.06	1	0.59
44040	230	149	64.78	6	2.61	8	3.48	67	29.13	0	0
44041	235	149	63.40	13	5.53	13	5.53	58	24.68	2	0.85
45001	209	89	42.58	5	2.39	21	10.05	93	44.50	1	0.48
45002	193	85	44.04	1	0.52	14	7.25	91	47.15	2	1.04
45003	231	113	48.92	4	1.73	18	7.79	95	41.13	1	0.43
45004	340	144	42.35	11	3.24	38	11.18	141	41.47	6	1.76
45005	316	168	53.16	12	3.80	23	7.28	108	34.18	5	1.58
45006	360	191	53.06	10	2.78	26	7.22	131	36.39	2	0.56
45007	394	190	48.22	13	3.30	38	9.64	153	38.83	0	0
45008	263	123	46.77	12	4.56	14	5.32	113	42.97	1	0.38
45009	266	115	43.23	5	1.88	30	11.28	114	42.86	2	0.75
45010	291	139	47.77	4	1.37	30	10.31	117	40.21	1	0.34
45011	187	76	40.64	12	6.42	17	9.09	81	43.32	1	0.53
45012	266	122	45.86	12	4.51	25	9.40	104	39.10	3	1.13
45013	292	131	44.86	7	2.40	47	16.10	105	35.96	2	0.68
45014	335	173	51.64	16	4.78	30	8.96	115	34.33	1	0.30
45015	425	203	47.76	6	1.41	49	11.53	161	37.88	6	1.41
45016	261	126	48.28	11	4.21	29	11.11	90	34.48	5	1.92
45017	312	160	51.28	10	3.21	39	12.50	97	31.09	6	1.92
45018	297	129	43.43	7	2.36	43	14.48	118	39.73	0	0
45019	163	90	55.21	4	2.45	18	11.04	48	29.45	3	1.84
45020	183	82	44.81	9	4.92	21	11.48	70	38.25	1	0.55
45021	299	150	50.17	6	2.01	35	11.71	107	35.79	1	0.33
45022	275	147	53.45	5	1.82	49	17.82	73	26.55	1	0.36
45023	293	157	53.58	8	2.73	44	15.02	83	28.33	1	0.34
45024	261	129	49.43	7	2.68	38	14.56	84	32.18	3	1.15
45025	214	99	46.26	6	2.80	42	19.63	67	31.31	0	0
45026	164	71	43.29	7	4.27	35	21.34	50	30.49	1	0.61
45027	266	110	41.35	10	3.76	44	16.54	99	37.22	3	1.13
45028	238	118	49.58	11	4.62	20	8.40	85	35.71	4	1.68
45029	193	96	49.74	6	3.11	30	15.54	51	26.42	10	5.18
45030	246	128	52.03	8	3.25	22	8.94	87	35.37	1	0.41
45031	245	129	52.65	10	4.08	23	9.39	81	33.06	2	0.82
45032	245	131	53.47	8	3.27	22	8.98	83	33.88	1	0.41
45033	175	88	50.29	6	3.43	12	6.86	67	38.29	2	1.14
45034	295	165	55.93	8	2.71	28	9.49	90	30.51	4	1.36
45035	338	153	45.27	18	5.33	55	16.27	107	31.66	5	1.48
45036	340	146	42.94	14	4.12	61	17.94	115	33.82	4	1.18
45037	281	149	53.02	11	3.91	24	8.54	97	34.52	0	0
45038	250	123	49.20	6	2.40	24	9.60	94	37.60	3	1.20
45039	279	129	46.24	7	2.51	46	16.49	95	34.05	2	0.72
45040	301	150	49.83	12	3.99	47	15.61	89	29.57	3	1.00
45041	307	147	47.88	7	2.28	58	18.89	93	30.29	2	0.65
45042	339	172	50.74	11	3.24	54	15.93	102	30.09	0	0
45043	345	146	42.32	8	2.32	68	19.71	121	35.07	2	0.58
45044	319	168	52.66	6	1.88	49	15.36	95	29.78	1	0.31
45045	221	97	43.89	10	4.52	52	23.53	61	27.60	1	0.45
45046	202	86	42.57	7	3.47	32	15.84	73	36.14	4	1.98
45047	240	98	40.83	8	3.33	49	20.42	84	35.00	1	0.42
45048	236	112	47.46	4	1.69	49	20.76	67	28.39	4	1.69
46001	269	134	49.81	15	5.58	19	7.06	95	35.32	6	2.23
46002	252	135	53.57	14	5.56	6	2.38	95	37.70	2	0.79
46003	328	221	67.38	11	3.35	11	3.35	82	25.00	3	0.91
46004	294	171	58.16	11	3.74	12	4.08	97	32.99	3	1.02
46005	222	126	56.76	8	3.60	14	6.31	72	32.43	2	0.90
46006	248	139	56.05	12	4.84	12	4.84	82	33.06	3	1.21
46007	410	271	66.10	14	3.41	22	5.37	97	23.66	6	1.46
46008	227	110	48.46	26	11.45	10	4.41	73	32.16	8	3.52
46009	255	144	56.47	4	1.57	15	5.88	89	34.90	3	1.18
46010	233	131	56.22	6	2.58	18	7.73	75	32.19	3	1.29
46011	257	167	64.98	19	7.39	11	4.28	59	22.96	1	0.39
46012	259	123	47.49	11	4.25	10	3.86	113	43.63	2	0.77
46013	244	139	56.97	4	1.64	16	6.56	81	33.20	4	1.64
46014	342	172	50.29	52	15.20	11	3.22	100	29.24	7	2.05
46015	251	162	64.54	6	2.39	12	4.78	67	26.69	4	1.59
46016	271	139	51.29	7	2.58	17	6.27	108	39.85	0	0
46017	340	221	65.00	15	4.41	17	5.00	84	24.71	3	0.88
46018	239	133	55.65	10	4.18	12	5.02	82	34.31	2	0.84
46019	213	138	64.79	2	0.94	14	6.57	56	26.29	3	1.41
46020	274	133	48.54	30	10.95	15	5.47	87	31.75	9	3.28
46021	184	107	58.15	5	2.72	12	6.52	58	31.52	2	1.09
46022	235	101	42.98	16	6.81	8	3.40	110	46.81	0	0
46023	217	126	58.06	20	9.22	8	3.69	60	27.65	3	1.38
46024	294	195	66.33	7	2.38	15	5.10	75	25.51	2	0.68
46025	270	119	44.07	16	5.93	10	3.70	123	45.56	2	0.74
46026	225	112	49.78	6	2.67	19	8.44	82	36.44	6	2.67
