Precinct	Votes	votes|Jerry Joyce	pct|Jerry Joyce	votes|Paul Vallas	pct|Paul Vallas	votes|Willie L. Wilson	pct|Willie L. Wilson	votes|Toni Preckwinkle	pct|Toni Preckwinkle	votes|William M. Daley	pct|William M. Daley	votes|Garry Mccarthy	pct|Garry Mccarthy	votes|Gery Chico	pct|Gery Chico	votes|Susana A. Mendoza	pct|Susana A. Mendoza	votes|Amara Enyia	pct|Amara Enyia	votes|La Shawn K. Ford	pct|La Shawn K. Ford	votes|Neal Sales-Griffin	pct|Neal Sales-Griffin	votes|Lori Lightfoot	pct|Lori Lightfoot	votes|Robert ''Bob'' Fioretti	pct|Robert ''Bob'' Fioretti	votes|John Kenneth Kozlar	pct|John Kenneth Kozlar
09005	244	6	2.46	3	1.23	67	27.46	55	22.54	22	9.02	0	0	6	2.46	9	3.69	27	11.07	4	1.64	0	0	43	17.62	2	0.82	0	0
09006	222	3	1.35	5	2.25	79	35.59	47	21.17	15	6.76	4	1.80	3	1.35	3	1.35	19	8.56	3	1.35	2	0.90	37	16.67	1	0.45	1	0.45
09007	193	2	1.04	4	2.07	54	27.98	47	24.35	25	12.95	1	0.52	6	3.11	10	5.18	16	8.29	2	1.04	0	0	24	12.44	2	1.04	0	0
09008	193	4	2.07	5	2.59	68	35.23	44	22.80	10	5.18	0	0	8	4.15	9	4.66	18	9.33	5	2.59	0	0	21	10.88	1	0.52	0	0
09009	287	10	3.48	10	3.48	78	27.18	58	20.21	32	11.15	0	0	9	3.14	10	3.48	35	12.20	1	0.35	7	2.44	35	12.20	2	0.70	0	0
09010	179	7	3.91	4	2.23	66	36.87	36	20.11	14	7.82	1	0.56	1	0.56	5	2.79	10	5.59	2	1.12	1	0.56	32	17.88	0	0	0	0
09011	169	2	1.18	1	0.59	70	41.42	33	19.53	11	6.51	1	0.59	0	0	5	2.96	15	8.88	3	1.78	0	0	26	15.38	2	1.18	0	0
09012	279	5	1.79	5	1.79	71	25.45	68	24.37	33	11.83	1	0.36	8	2.87	4	1.43	35	12.54	5	1.79	1	0.36	40	14.34	1	0.36	2	0.72
09013	296	7	2.36	7	2.36	99	33.45	71	23.99	30	10.14	4	1.35	5	1.69	5	1.69	14	4.73	4	1.35	1	0.34	46	15.54	3	1.01	0	0
09014	314	9	2.87	5	1.59	78	24.84	71	22.61	32	10.19	2	0.64	5	1.59	12	3.82	33	10.51	2	0.64	1	0.32	62	19.75	2	0.64	0	0
09015	154	0	0	9	5.84	57	37.01	33	21.43	13	8.44	2	1.30	2	1.30	5	3.25	11	7.14	1	0.65	0	0	21	13.64	0	0	0	0
09016	218	12	5.50	6	2.75	62	28.44	55	25.23	15	6.88	2	0.92	13	5.96	5	2.29	14	6.42	1	0.46	0	0	30	13.76	3	1.38	0	0
09017	156	3	1.92	1	0.64	62	39.74	44	28.21	10	6.41	1	0.64	8	5.13	4	2.56	9	5.77	0	0	0	0	14	8.97	0	0	0	0
09018	166	1	0.60	2	1.20	56	33.73	43	25.90	8	4.82	1	0.60	5	3.01	10	6.02	15	9.04	2	1.20	1	0.60	20	12.05	2	1.20	0	0
09019	209	1	0.48	7	3.35	72	34.45	47	22.49	23	11.00	0	0	3	1.44	6	2.87	14	6.70	2	0.96	0	0	31	14.83	3	1.44	0	0
